ORF,TRUE.PHI,NOISE.PHI
main1,0.680353863953527,0.333725345092942
main2,0.0847163650553125,0.0388255722920691
main3,0.0311589505793958,0.0144272673405547
main4,0.955707338571325,0.44432231552079
main5,0.182271821569057,0.547101219940025
main6,0.0667281475386288,0.0758188609639092
main7,0.0482931262072971,0.0343610828970328
main8,0.00188590821395341,0.00116777684298116
main9,0.00800738135760273,0.0039056503235785
main10,0.0626295775273037,0.07275959185234
main11,0.131916349788588,0.139674205950958
main12,6.30297721765245,2.03578782227801
main13,0.00581308546488264,0.00328808465560599
main14,0.00746368070763596,0.0114970371350876
main15,0.0300230842264046,0.0899270526412682
main16,0.065631835598095,0.103403423227289
main17,0.158675051535999,0.306238304043638
main18,0.01683584031254,0.0160839492536385
main19,0.0193820474214117,0.00143912612530167
main20,0.00268447953909185,0.00432895709140205
main21,0.138871219738179,0.691473890759553
main22,0.178004320235257,0.088330568202738
main23,0.0526884884383662,0.207428132721029
main24,0.829967426618128,0.223313303211147
main25,0.017403260974388,0.0411328223770503
main26,0.0937344317738704,0.688740559784578
main27,0.220243017781703,0.246011875195356
main28,0.232700173518379,0.212307605866227
main29,0.0269538471883735,0.0523648121410707
main30,0.0279368092149736,0.020565865973317
main31,0.345605417686117,0.462120220610744
main32,0.0207982995712272,0.036492044576646
main33,0.0142747855688424,0.074021893854689
main34,0.0266816004193774,0.126434896865465
main35,0.0289522530334993,0.00917016553199306
main36,0.163418611920595,0.110267191062816
main37,0.00968534125818008,0.0249224223878881
main38,0.058959591414574,0.0663995268140906
main39,0.212243652926474,0.0813675381451242
main40,0.0586550149584612,0.0219856049673414
main41,0.166040916841755,0.0880867403761606
main42,0.205126788199727,0.375925240018738
main43,0.0293160388706535,0.0128068791606909
main44,0.0288132522818738,0.0145890088714793
main45,0.00279364935027103,0.0040087363586084
main46,0.11710785572711,0.385824723347296
main47,0.195295685890082,0.886460905314392
main48,0.018546352258727,0.0497817523423008
main49,19.612209284907,14.6040363341528
main50,0.13791195743891,0.0455401366405774
main51,0.101654907059514,0.210912998721746
main52,0.0272216726321634,0.0227665225937126
main53,0.468036131960894,0.869552582986728
main54,3.55514410393834,2.04996290630368
main55,0.00249226594811195,0.00110274589419427
main56,0.0173360739858386,0.070550901823137
main57,1.03040602541768,4.63285866774603
main58,0.00650910974521596,0.00511213965465608
main59,0.0369648703999419,0.0141944976082432
main60,0.00830863153143407,0.0343601799078292
main61,0.0128468364321722,0.0191863929515282
main62,0.26083974945212,0.978823800795009
main63,0.464810044178298,0.665555256303293
main64,0.098299163552051,0.312117558829668
main65,0.0351826218404998,0.0366154636582298
main66,0.0280917460687209,0.022768025595896
main67,0.0615747573318968,0.0265523174269536
main68,0.073235439866247,0.309295757371352
main69,0.219575241132777,0.719072597377983
main70,0.131060705415414,0.133647407663611
main71,24.6146095547935,5.52809955012429
main72,0.387194376185307,0.643069149910549
main73,4.19192564707684,11.4838365094551
main74,0.0761686916846531,0.282236817906474
main75,0.0838045953403983,0.0488441679607807
main76,0.0434320908762992,0.0201848499473712
