ORF30,0.857326
ORF39,0.484239
ORF53,0.62884
ORF63,0.190014
ORF66,1.595
ORF68,0.921735
ORF71,0.828782
ORF91,0.529733
ORF109,1.79979
ORF115,2.51711
ORF128,0.870222
ORF145,0.297107
ORF154,0.577835
ORF162,0.284671
ORF184,1.91793
ORF212,0.400541
ORF216,1.11958
ORF227,0.327685
ORF230,0.311892
ORF254,1.83041
ORF267,0.374035
ORF278,1.78534
ORF282,1.44043
ORF285,0.735368
ORF287,0.34397
ORF321,0.763677
ORF322,0.512222
ORF323,0.376455
ORF326,0.31213
ORF342,0.309553
ORF349,0.368786
ORF351,1.52035
ORF355,0.985605
ORF389,0.481183
ORF393,0.466604
ORF394,0.189278
ORF410,0.435313
ORF431,0.238662
ORF432,0.353657
ORF441,1.34767
ORF458,1.13494
ORF491,5.21797
ORF492,0.313905
ORF496,0.903
ORF516,0.0475987
ORF519,0.458485
ORF530,0.384046
ORF573,0.176968
ORF614,0.160799
ORF620,1.79523
ORF630,1.38549
ORF632,0.187616
ORF639,0.150598
ORF651,0.47449
ORF669,1.53104
ORF671,0.597816
ORF679,0.46919
ORF705,0.0404715
ORF710,1.22046
ORF712,1.71944
ORF731,0.588053
ORF734,0.550956
ORF735,0.40041
ORF738,2.8095
ORF745,15.737
ORF751,0.50433
ORF758,0.6618
ORF766,0.475343
ORF788,0.543763
ORF794,0.437675
ORF798,0.867097
ORF799,0.162053
ORF813,0.243429
ORF842,1.35719
ORF846,0.0986853
ORF853,0.467588
ORF855,0.0776737
ORF857,0.316623
ORF878,0.215624
ORF895,0.266193
ORF902,0.541288
ORF904,0.642504
ORF920,0.987182
ORF923,0.357778
ORF932,0.0746182
ORF949,0.278169
ORF952,0.465148
ORF961,0.240743
ORF969,0.454655
ORF979,0.695655
ORF996,0.604994
ORF1001,0.549984
ORF1007,0.88052
ORF1015,0.59743
ORF1021,0.180449
ORF1033,1.31046
ORF1041,0.766204
ORF1057,0.888394
ORF1060,0.924256
ORF1071,1.59195
ORF1073,1.048
ORF1074,0.673886
ORF1076,0.443504
ORF1083,0.344133
ORF1087,0.536977
ORF1089,0.0964829
ORF1097,0.667182
ORF1100,1.77792
ORF1114,0.342325
ORF1123,0.45685
ORF1136,0.945773
ORF1164,0.406586
ORF1172,0.25488
ORF1181,1.93481
ORF1182,0.889057
ORF1224,0.839727
ORF1228,0.915606
ORF1231,0.268854
ORF1243,1.34414
ORF1273,0.452389
ORF1276,0.899366
ORF1284,0.282619
ORF1304,0.807456
ORF1305,0.326318
ORF1306,0.656852
ORF1311,0.683218
ORF1359,0.600498
ORF1361,1.83011
ORF1367,0.688615
ORF1368,4.11505
ORF1371,2.80319
ORF1384,1.84931
ORF1408,0.499285
ORF1412,0.805189
ORF1424,0.810088
ORF1445,0.762374
ORF1448,1.29458
ORF1455,0.17051
