Gene,Phi,Mixture
SAKL0A00132g,-0.614896771247733,1
SAKL0A00154g,0.0426644216590528,2
SAKL0A00176g,-0.189722206116145,1
SAKL0A00198g,-0.226273315057384,1
SAKL0A00220g,0.151993494385672,1
SAKL0A00242g,-0.265784275119157,1
SAKL0A00264g,-0.06566003226275,1
SAKL0A00286g,-0.920663223789305,1
SAKL0A00308g,0.41638092119184,1
SAKL0A00330g,-0.723277429681146,1
SAKL0A00352g,-0.175439054432397,1
SAKL0A00374g,-0.113602678120217,1
SAKL0A00396g,-0.00317990738872328,1
SAKL0A00418g,-0.300532500393353,1
SAKL0A00440g,-0.108358974532509,1
SAKL0A00462g,-1.0073956684235,1
SAKL0A00484g,-0.295867514673912,1
SAKL0A00506g,-0.0749166714058557,1
SAKL0A00528g,-0.802225463845216,1
SAKL0A00550g,-0.478351103178625,1
SAKL0A00572g,-0.0842611774341119,1
SAKL0A00594g,-0.0512252951318539,1
SAKL0A00616g,0.0379626394172039,1
SAKL0A00638g,-0.838489117582766,1
SAKL0A00660g,0.132826036248874,1
SAKL0A00704g,-0.629885873797391,1
SAKL0A00726g,-0.328281294802459,1
SAKL0A00748g,0.225617232397035,1
SAKL0A00770g,-0.0895360279642547,1
SAKL0A00792g,-0.26034343584037,1
SAKL0A00814g,0.081286291970743,1
SAKL0A00836g,-0.685833740120537,1
SAKL0A00858g,-0.333825521970429,1
SAKL0A00880g,-0.609768068270684,1
SAKL0A00902g,-0.586304354924678,1
SAKL0A00924g,-0.128357928292463,1
SAKL0A00946g,-0.0739061305118477,1
SAKL0A00968g,-0.478648803723555,1
SAKL0A00990g,0.0124277936800412,1
SAKL0A01012g,0.144434412492186,1
SAKL0A01034g,0.0544782480255209,1
SAKL0A01056g,-0.590001292500911,1
SAKL0A01078g,-0.412562518615253,1
SAKL0A01100g,-0.488340363267756,1
SAKL0A01122g,-0.382333712410983,1
SAKL0A01144g,0.051057229524409,2
SAKL0A01166g,-0.349167862770012,1
SAKL0A01188g,0.101674571151106,2
SAKL0A01210g,-0.135598275827545,1
SAKL0A01232g,-0.572395142195184,1
SAKL0A01254g,-0.345790329801037,1
SAKL0A01276g,-0.0207483277386828,1
SAKL0A01298g,-0.306637911238602,1
SAKL0A01320g,-0.00472383216588264,1
SAKL0A01342g,0.0357181281746537,2
SAKL0A01364g,0.168443105149583,1
SAKL0A01386g,0.038575607466097,2
SAKL0A01408g,-0.550534702808199,1
SAKL0A01430g,0.0827091870669389,2
SAKL0A01452g,-0.161647119163483,1
SAKL0A01474g,-0.448096955216911,1
SAKL0A01496g,-0.567114039981388,1
SAKL0A01518g,-0.75791128266752,1
SAKL0A01628g,-0.0816659697165338,1
SAKL0A01650g,-0.511527596155093,1
SAKL0A01672g,-0.551954161975223,1
SAKL0A01694g,-0.249152408544881,1
SAKL0A01716g,-0.44273374157075,1
SAKL0A01738g,-0.0506262757873258,1
SAKL0A01760g,-0.49854465823204,1
SAKL0A01782g,0.425930654526328,1
SAKL0A01804g,-0.26604787285513,1
SAKL0A01826g,-0.00360631293284564,1
SAKL0A01848g,0.162157452509888,1
SAKL0A01870g,-0.391311469034104,1
SAKL0A01892g,-0.474556904939853,1
SAKL0A01914g,0.110758945215043,2
SAKL0A01936g,-0.0814153422696061,1
SAKL0A01958g,0.117243550200077,1
SAKL0A01980g,0.26098477825742,1
SAKL0A02002g,-0.57169642179431,1
SAKL0A02024g,0.164780394890339,1
SAKL0A02046g,0.383266323997644,1
SAKL0A02068g,-0.243435427582249,1
SAKL0A02090g,-0.673970917152444,1
SAKL0A02112g,0.0137687757422114,2
SAKL0A02134g,0.0855126762445054,2
SAKL0A02156g,-0.2719705842682,1
SAKL0A02178g,-0.540301892128525,1
SAKL0A02200g,-0.126246732064995,1
SAKL0A02222g,-0.675880414437285,1
SAKL0A02244g,0.0925828162058673,2
SAKL0A02266g,0.448071475715797,1
SAKL0A02288g,-0.890776195168398,1
SAKL0A02310g,0.422578908316158,1
SAKL0A02332g,-0.622820410019394,1
SAKL0A02354g,0.310483764612627,1
SAKL0A02376g,-0.307226685481879,1
SAKL0A02398g,-0.120003430273827,1
SAKL0A02420g,-0.34154649090764,1
SAKL0A02442g,-0.83633569754629,1
SAKL0A02464g,-0.38491680076206,1
SAKL0A02486g,-0.0329621214916283,1
SAKL0A02508g,0.0699746373851619,2
SAKL0A02530g,0.0775172878177279,2
SAKL0A02552g,-0.728435719877727,1
SAKL0A02574g,-0.55889558719648,1
SAKL0A02596g,-0.6057239849864,1
SAKL0A02618g,-0.0108145799081265,1
SAKL0A02640g,-0.400205091028047,1
SAKL0A02662g,0.0933995647563889,2
SAKL0A02684g,0.0616385915287232,2
SAKL0A02706g,-0.076442773627542,2
SAKL0A02728g,-0.567537393034196,1
SAKL0A02750g,0.354439282208308,1
SAKL0A02772g,0.782219182493401,1
SAKL0A02794g,0.185116137577594,1
SAKL0A02816g,-0.268834794664759,1
SAKL0A02838g,0.103778945681185,2
SAKL0A02860g,-0.576985147837702,1
SAKL0A02882g,-0.728109285850845,1
SAKL0A02904g,-0.497187151159044,1
SAKL0A02926g,0.0486606265336248,1
SAKL0A02948g,0.0433679643415602,1
SAKL0A02970g,-0.756505724332646,1
SAKL0A02992g,0.0417344725791365,1
SAKL0A03014g,-0.395975221609193,1
SAKL0A03036g,-0.313280690457378,1
SAKL0A03058g,-0.021665252602167,1
SAKL0A03080g,-0.440592404268263,1
SAKL0A03102g,-0.0214214180130023,1
SAKL0A03124g,-0.814862461314648,1
SAKL0A03146g,-0.424890241657811,1
SAKL0A03168g,-0.660466208443504,1
SAKL0A03190g,-0.252618983174082,1
SAKL0A03212g,-0.633970244240175,1
SAKL0A03234g,0.625920793736954,1
SAKL0A03256g,-0.538041904475054,1
SAKL0A03278g,0.0517315107342564,1
SAKL0A03300g,0.305243229386116,1
SAKL0A03322g,-0.569119516630285,1
SAKL0A03344g,-0.614033780028913,1
SAKL0A03366g,0.0298286613654941,1
SAKL0A03388g,0.150533279533281,1
SAKL0A03410g,-0.792484715503205,1
SAKL0A03432g,0.099696622988235,1
SAKL0A03454g,0.466554726953007,1
SAKL0A03476g,0.0116665417799598,2
SAKL0A03498g,-0.546012169220554,1
SAKL0A03520g,0.0586725155156898,2
SAKL0A03542g,-0.254396596361262,1
SAKL0A03564g,-0.624946566521243,1
SAKL0A03586g,0.222498113972325,1
SAKL0A03608g,-0.370677882164762,1
SAKL0A03630g,0.174441835808907,1
SAKL0A03652g,-0.0334972438495697,1
SAKL0A03674g,-0.710326339103325,1
SAKL0A03696g,-0.0391073416298416,1
SAKL0A03718g,0.0868881501248791,1
SAKL0A03740g,-0.761544759305727,1
SAKL0A03762g,-0.495686065820362,1
SAKL0A03784g,-0.619818908869322,1
SAKL0A03806g,-0.415616615650218,1
SAKL0A03828g,0.1294320816791,2
SAKL0A03850g,-0.775016284436256,1
SAKL0A03872g,0.0444892533503423,1
SAKL0A03894g,-0.646828827681332,1
SAKL0A03916g,0.837920719159044,1
SAKL0A03938g,-0.614311368257268,1
SAKL0A03960g,0.42392553086212,1
SAKL0A03982g,0.0725331794814665,1
SAKL0A04004g,-0.274415935822696,1
SAKL0A04026g,-0.030420211028232,1
SAKL0A04048g,-0.0805792483099303,1
SAKL0A04070g,-0.72510619568796,1
SAKL0A04092g,-0.36780784493617,1
SAKL0A04114g,-0.225122013215079,1
SAKL0A04136g,0.0469271900113653,1
SAKL0A04158g,0.0557174197477708,1
SAKL0A04180g,0.148267417161367,1
SAKL0A04202g,-0.109197194183383,1
SAKL0A04224g,-0.491403168240407,1
SAKL0A04246g,-0.503412801764205,1
